epoch 0
[1.         0.99952489 0.        ] 0.7974759615384615Params: [1.         0.99952489 0.        ], valid rate: 0.661538, volume rate: 0.135937
[1.45648519 2.78621754 0.25389839] 0.7828786637931034Params: [1.45648519 2.78621754 0.25389839], valid rate: 0.655172, volume rate: 0.127706
[1.22409837 1.27088345 0.48626754] 0.8110245098039216Params: [1.22409837 1.27088345 0.48626754], valid rate: 0.686275, volume rate: 0.124750
[1.         1.34003205 0.        ] 0.7793083333333334Params: [1.         1.34003205 0.        ], valid rate: 0.645833, volume rate: 0.133475
[1.         2.02848402 0.        ] 0.8185218750000001Params: [1.         2.02848402 0.        ], valid rate: 0.687500, volume rate: 0.131022
[1.         1.91489044 0.9305675 ] 0.7638525735294118Params: [1.         1.91489044 0.9305675 ], valid rate: 0.647059, volume rate: 0.116794
[1.         1.01701437 0.        ] 0.7865624007936508Params: [1.         1.01701437 0.        ], valid rate: 0.650794, volume rate: 0.135769
[1.         1.89756236 0.        ] 0.6152209677419355Params: [1.         1.89756236 0.        ], valid rate: 0.483871, volume rate: 0.131350
[1.         0.         0.75028403] 0.0125Params: [1.         0.         0.75028403], valid rate: 0.000000, volume rate: 0.012500
[1.11452226 2.05703826 0.28716195] 0.7405251008064516Params: [1.11452226 2.05703826 0.28716195], valid rate: 0.612903, volume rate: 0.127622
[1.         1.33234316 0.        ] 0.7457605229591837Params: [1.         1.33234316 0.        ], valid rate: 0.612245, volume rate: 0.133516
[1.         0.         1.87258231] 0.0Params: [1.         0.         1.87258231], valid rate: 0.000000, volume rate: 0.000000
[1.         1.68381269 1.64468893] 0.8126701981707317Params: [1.         1.68381269 1.64468893], valid rate: 0.707317, volume rate: 0.105353
[1.         0.27297436 0.7990201 ] 1.0060575441919193Params: [1.         0.27297436 0.7990201 ], valid rate: 0.919192, volume rate: 0.086866
[2.33386762 0.15442794 0.53958448] 1.10366875Params: [2.33386762 0.15442794 0.53958448], valid rate: 1.000000, volume rate: 0.103669
[1.         1.90000491 1.03470709] 0.8395348060344827Params: [1.         1.90000491 1.03470709], valid rate: 0.724138, volume rate: 0.115397
[1.19245695 0.         0.        ] 0.25Params: [1.19245695 0.         0.        ], valid rate: 0.000000, volume rate: 0.250000
[1.09907265 1.73021467 0.        ] 0.7788963235294117Params: [1.09907265 1.73021467 0.        ], valid rate: 0.647059, volume rate: 0.131837
[1.62048792 0.96984948 0.07907812] 0.7800456653225807Params: [1.62048792 0.96984948 0.07907812], valid rate: 0.645161, volume rate: 0.134884
[1.        0.0452561 0.       ] 0.8225751524390243Params: [1.        0.0452561 0.       ], valid rate: 0.590244, volume rate: 0.232331
epoch 1
[1.         0.29458853 0.86922769] 0.9678949013157895Params: [1.         0.29458853 0.86922769], valid rate: 0.884211, volume rate: 0.083684
[1.36517877 0.28058865 0.71682445] 1.099628125Params: [1.36517877 0.28058865 0.71682445], valid rate: 1.000000, volume rate: 0.099628
[1.77174051 0.18040634 0.64136236] 1.09544375Params: [1.77174051 0.18040634 0.64136236], valid rate: 1.000000, volume rate: 0.095444
[3.         0.         0.09223527] 0.7325Params: [3.         0.         0.09223527], valid rate: 0.500000, volume rate: 0.232500
[1.         0.27711611 0.84381208] 1.0221973852040818Params: [1.         0.27711611 0.84381208], valid rate: 0.938776, volume rate: 0.083422
