epoch 0
[1.91642866 0.99952489 0.75258872] 1.0114225Params: [1.91642866 0.99952489 0.75258872], valid rate: 1.000000, volume rate: 0.114225
[2.45648519 2.78621754 1.25389839] 1.011495Params: [2.45648519 2.78621754 1.25389839], valid rate: 1.000000, volume rate: 0.114950
[2.22409837 1.27088345 1.48626754] 1.01017Params: [2.22409837 1.27088345 1.48626754], valid rate: 1.000000, volume rate: 0.101700
[1.         1.34003205 0.91880813] 1.0112875Params: [1.         1.34003205 0.91880813], valid rate: 1.000000, volume rate: 0.112875
[1.48174879 2.02848402 0.        ] 1.01321375Params: [1.48174879 2.02848402 0.        ], valid rate: 1.000000, volume rate: 0.132137
[1.50530466 1.91489044 1.9305675 ] 1.0103175Params: [1.50530466 1.91489044 1.9305675 ], valid rate: 1.000000, volume rate: 0.103175
[1.81748872 1.01701437 0.6549908 ] 1.01167625Params: [1.81748872 1.01701437 0.6549908 ], valid rate: 1.000000, volume rate: 0.116763
[1.11446846 1.89756236 0.88545354] 1.01162625Params: [1.11446846 1.89756236 0.88545354], valid rate: 1.000000, volume rate: 0.116263
[1.65966927 0.         1.75028403] 0.0Params: [1.65966927 0.         1.75028403], valid rate: 0.000000, volume rate: 0.000000
[2.11452226 2.05703826 1.28716195] 1.01120375Params: [2.11452226 2.05703826 1.28716195], valid rate: 1.000000, volume rate: 0.112037
[1.43491431 1.33234316 0.90896692] 1.0113475Params: [1.43491431 1.33234316 0.90896692], valid rate: 1.000000, volume rate: 0.113475
[1.92781026 0.         2.87258231] 0.0Params: [1.92781026 0.         2.87258231], valid rate: 0.000000, volume rate: 0.000000
[1.60356375 1.68381269 2.64468893] 1.0090175Params: [1.60356375 1.68381269 2.64468893], valid rate: 1.000000, volume rate: 0.090175
[1.86953153 0.27297436 1.7990201 ] 1.0006475Params: [1.86953153 0.27297436 1.7990201 ], valid rate: 1.000000, volume rate: 0.006475
[3.         0.15442794 1.53958448] 0.0Params: [3.         0.15442794 1.53958448], valid rate: 0.000000, volume rate: 0.000000
[1.90665423 1.90000491 2.03470709] 1.01016125Params: [1.90665423 1.90000491 2.03470709], valid rate: 1.000000, volume rate: 0.101612
[2.19245695 0.         0.        ] 1.02486875Params: [2.19245695 0.         0.        ], valid rate: 1.000000, volume rate: 0.248688
[2.09907265 1.73021467 0.78327586] 1.0117225Params: [2.09907265 1.73021467 0.78327586], valid rate: 1.000000, volume rate: 0.117225
[2.62048792 0.96984948 1.07907812] 1.01049875Params: [2.62048792 0.96984948 1.07907812], valid rate: 1.000000, volume rate: 0.104987
[1.74786069 0.0452561  0.08777399] 1.02239875Params: [1.74786069 0.0452561  0.08777399], valid rate: 1.000000, volume rate: 0.223988
epoch 1
[1.78359954 1.99174813 0.18019518] 1.0130375Params: [1.78359954 1.99174813 0.18019518], valid rate: 1.000000, volume rate: 0.130375
[2.23817049 1.27989774 0.69491496] 1.01169Params: [2.23817049 1.27989774 0.69491496], valid rate: 1.000000, volume rate: 0.116900
[1.65764391 0.82090326 0.0527271 ] 1.01382Params: [1.65764391 0.82090326 0.0527271 ], valid rate: 1.000000, volume rate: 0.138200
[2.36329371 0.         0.04360594] 1.0241875Params: [2.36329371 0.         0.04360594], valid rate: 1.000000, volume rate: 0.241875
[1.44443102 2.10492918 0.3743795 ] 1.01279875Params: [1.44443102 2.10492918 0.3743795 ], valid rate: 1.000000, volume rate: 0.127988
[1.71054467 1.67232488 0.03528483] 1.01329125Params: [1.71054467 1.67232488 0.03528483], valid rate: 1.000000, volume rate: 0.132912
[2.33497446 0.4212072  0.23923534] 1.01367375Params: [2.33497446 0.4212072  0.23923534], valid rate: 1.000000, volume rate: 0.136738
[1.85372649 0.27402547 0.        ] 1.0161Params: [1.85372649 0.27402547 0.        ], valid rate: 1.000000, volume rate: 0.161000
[2.2063557 0.        0.0932463] 1.02290875Params: [2.2063557 0.        0.0932463], valid rate: 1.000000, volume rate: 0.229087
[1.74991328 1.9297573  0.19930141] 1.0130225Params: [1.74991328 1.9297573  0.19930141], valid rate: 1.000000, volume rate: 0.130225
[1.73553361 1.6008165  0.        ] 1.01332625Params: [1.73553361 1.6008165  0.        ], valid rate: 1.000000, volume rate: 0.133263
[1.650236   1.34039033 0.        ] 1.01344625Params: [1.650236   1.34039033 0.        ], valid rate: 1.000000, volume rate: 0.134463
[1.85503428 1.94248727 0.48145464] 1.01266375Params: [1.85503428 1.94248727 0.48145464], valid rate: 1.000000, volume rate: 0.126637
[2.2865711 0.        0.       ] 1.02486875Params: [2.2865711 0.        0.       ], valid rate: 1.000000, volume rate: 0.248688
[2.15140275 0.         0.07906158] 1.02333875Params: [2.15140275 0.         0.07906158], valid rate: 1.000000, volume rate: 0.233387
[1.91743118 0.         0.        ] 1.02486875Params: [1.91743118 0.         0.        ], valid rate: 1.000000, volume rate: 0.248688
[1.72463728 1.57167479 0.28845548] 1.01294875Params: [1.72463728 1.57167479 0.28845548], valid rate: 1.000000, volume rate: 0.129488
[2.15717912 0.80444757 0.12143181] 1.013615Params: [2.15717912 0.80444757 0.12143181], valid rate: 1.000000, volume rate: 0.136150
[2.07143796 0.45486769 0.        ] 1.0147325Params: [2.07143796 0.45486769 0.        ], valid rate: 1.000000, volume rate: 0.147325
