epoch 0
[1.62392898 0.9984163  0.17529573] 0.555375Params: [1.62392898 0.9984163  0.17529573], valid rate: 0.344450, volume rate: 0.210925
[4.05418338 6.95405847 1.84632798] 0.555375Params: [4.05418338 6.95405847 1.84632798], valid rate: 0.344450, volume rate: 0.210925
[3.00844268 1.90294482 2.62089181] 0.555375Params: [3.00844268 1.90294482 2.62089181], valid rate: 0.344450, volume rate: 0.210925
[1.         2.13344018 0.72936042] 0.555375Params: [1.         2.13344018 0.72936042], valid rate: 0.344450, volume rate: 0.210925
[1.         4.42828007 0.        ] 0.555375Params: [1.         4.42828007 0.        ], valid rate: 0.344450, volume rate: 0.210925
[1.         4.04963481 4.10189165] 0.555375Params: [1.         4.04963481 4.10189165], valid rate: 0.344450, volume rate: 0.210925
[1.17869922 1.05671457 0.        ] 0.555375Params: [1.17869922 1.05671457 0.        ], valid rate: 0.344450, volume rate: 0.210925
[1.         3.99187452 0.61817848] 0.555375Params: [1.         3.99187452 0.61817848], valid rate: 0.344450, volume rate: 0.210925
[1.         0.         3.50094677] 0.555375Params: [1.         0.         3.50094677], valid rate: 0.344450, volume rate: 0.210925
[2.51535016 4.52346087 1.95720649] 0.555375Params: [2.51535016 4.52346087 1.95720649], valid rate: 0.344450, volume rate: 0.210925
[1.         2.10781054 0.69655641] 0.555375Params: [1.         2.10781054 0.69655641], valid rate: 0.344450, volume rate: 0.210925
[1.67514617 0.         7.24194104] 0.555375Params: [1.67514617 0.         7.24194104], valid rate: 0.344450, volume rate: 0.210925
[1.         3.27937564 6.48229642] 0.555375Params: [1.         3.27937564 6.48229642], valid rate: 0.344450, volume rate: 0.210925
[1.41289189 0.         3.66340035] 0.555375Params: [1.41289189 0.         3.66340035], valid rate: 0.344450, volume rate: 0.210925
